,year,make,model,trim,vin,odometer,grade,price,province,claim,estimate,history_report,glass_record,repair,previous_repair,accident_repair,additional_repair,rebuild,total_disclosure_amount
34,2023,hyundai,santa,other,5NMS3DAJ7PH525579,"131,887",0.0,"$20,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2017,dodge,grand,other,2C4RDGBG3HR550163,"146,749",0.0,"$8,100",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2022,buick,envision,essence,LRBFZPR45ND140929,"39,863",1.4,"$17,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2016,mercedes benz,e class,other,WDDHF8BB5GB305688,"169,194",2.9,"$11,100",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020,kia,forte,ex,3KPF54AD0LE234350,"160,318",2.1,"$6,200",kitchner,17399.0,10052.56,27451.56,0.0,0.0,0.0,0.0,0.0,0.0,27451.56
39,2019,ram,1500,big horn,1C6SRFFT0KN720043,"207,068",3.0,"$13,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2023,hyundai,elantra,preferred,KMHLM4AG1PU378900,"116,345",3.1,"$13,500",kitchner,2162.0,0.0,2162.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.0
41,2017,hyundai,santa,other,5XYZUDLA7HG400375,"227,907",1.9,"$4,400",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2021,honda,rebel,other,MLHPC5662M5400033,"4,350",0.0,"$5,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2024,harley,davidson,other,5HD1KH737RB617935,"21,634",0.0,"$26,800",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2019,starcraft,autumn,other,1SABS0BN8K2BF5262,"999,999",0.0,"$12,300",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2021,forest,river,other,5ZT2ALNB2M9002866,"999,999",0.0,"$13,600",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0
46,2019,mazda,mazda3,gs,3MZBPAC79KM104955,"153,953",2.3,"$12,300",kitchner,1554.0,0.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.0
47,2021,jeep,wrangler,sahara,1C4HJXEN9MW791788,"81,436",4.0,"$30,300",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2021,ram,1500,big horn,1C6RREFG1MN628163,"138,468",3.8,"$23,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2018,jeep,wrangler,sahara,1C4HJXEG4JW234459,"84,678",3.8,"$24,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020,ford,f 150,other,1FTFX1E53LKD69329,"44,976",3.8,"$23,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2015,ram,1500,big horn,1C6RR7LT0FS506864,"236,372",3.8,"$7,700",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2016,ram,3500,laramie,3C63RRJL5GG366341,"307,471",3.8,"$18,500",kitchner,0.0,8556.62,8556.62,0.0,0.0,0.0,0.0,0.0,0.0,8556.62
53,2025,ford,f 150,other,1FTFW3L83SKE49174,"28,917",3.8,"$45,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2024,ram,3500,big horn,3C63R3DL8RG409761,"37,803",3.8,"$47,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2016,chevrolet,silverado,other,1GB4CYCG8GF197849,"140,595",3.8,"$20,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2022,mitsubishi,eclipse,other,JA4ATUAA4NZ613648,"82,413",3.8,"$19,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2012,mazda,mazda3,gs,JM1BL1V73C1635823,"155,916",3.8,"$6,100",kitchner,1221.0,0.0,1221.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.0
